employeur_or,employeur,commune,lat,long,departement,pays,type_employ,intitule_or,intitule,type,date,annee
Mouvement international ATD Quart-Monde,Mouvement international ATD Quart-Monde,Baillet-en-France,49.062222222222,2.2994444444444,Val-d'Oise,France,Entreprise,un archiviste (H/F),un archiviste,Privé,10/12/2018,2018
ville de Douai,Douai,Douai,50.370833333333,3.0791666666667,Nord,France,Commune,un.e Archiviste (Assistant de conservation – Cat B),Archiviste (Assistant de conservation – Cat B),Public,07/04/2020,2020
ville de Douai,Douai,Douai,50.370833333333,3.0791666666667,Nord,France,Commune,Le/la Directeur(trice) du service des Archives communales,Directeur du service des Archives communales,Public,06/02/2019,2019
ville de Douai,Douai,Douai,50.370833333333,3.0791666666667,Nord,France,Commune,"Un assistant (qualifié) de conservation du patrimoine,","Un assistant (qualifié) de conservation du patrimoine,",Public,16/05/2008,2008
France Télévisions,France Télévisions,Paris,48.856944444444,2.3513888888889,Paris,France,Établissement public,un(e) Chargé(e) des archives – (H/F),un Chargé des archives –,Public,05/12/2018,2018
SERDA Conseil,SERDA Conseil,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,Un Consultant fonctionnel GED et dématérialisation (H/F),Un Consultant fonctionnel GED et dématérialisation,Privé,03/12/2018,2018
ville de Dunkerque,Dunkerque,Dunkerque,51.037777777778,2.3763888888889,Nord,France,Commune,Un Responsable adjoint de la section contemporaine des archives (F/H),Un Responsable adjoint de la section contemporaine des archives,Public,11/09/2013,2013
Pro Archives Systèmes,Pro Archives Systèmes,Toulouse,43.604444444444,1.4438888888889,Haute-Garonne,France,Entreprise,Un(e) archiviste expert,Un archiviste expert,Privé,18/11/2018,2018
ville de Fontenay sous Bois,Fontenay-sous-Bois,Fontenay-sous-Bois,48.851666666667,2.4772222222222,Val-de-Marne,France,Commune,Un responsable Documentation(H / F),Un responsable Documentation,Public,27/05/2013,2013
ville de Fontenay sous Bois,Fontenay-sous-Bois,Fontenay-sous-Bois,48.851666666667,2.4772222222222,Val-de-Marne,France,Commune,Un Assistant Archiviste (H / F),Un Assistant Archiviste,Public,27/05/2013,2013
ville de Fontenay sous Bois,Fontenay-sous-Bois,Fontenay-sous-Bois,48.851666666667,2.4772222222222,Val-de-Marne,France,Commune,un Responsable Archives Documentation,un Responsable Archives Documentation,Public,08/06/2012,2012
ville de Fort de France,Fort-de-France,Fort-de-France,14.6,-61.06666666666667,Martinique,France,Commune,un conservateur territorial (archives),un conservateur territorial (archives),Public,16/12/2011,2011
ville de Gagny,Gagny,Gagny,48.881666666667,2.5388888888889,Seine-Saint-Denis,France,Commune,un archiviste-documentaliste (H/F),un archiviste-documentaliste,Public,19/11/2007,2007
ville de Garges les Gonesse,Garges-lès-Gonesse,Garges-lès-Gonesse,48.971944444444,2.4,Val-d'Oise,France,Commune,son responsable Du service archives/documentation h/f,son responsable Du service archives/documentation ,Public,14/11/2010,2010
ville de Garges-les-Gonesse,Garges-lès-Gonesse,Garges-lès-Gonesse,48.971944444444,2.4,Val-d'Oise,France,Commune,Son Archiviste - Documentaliste (H/F),Son Archiviste - Documentaliste,Public,14/10/2013,2013
AMPLEXOR,Amplexor Business Services,Saclay,48.730833333333,2.1733333333333,Essonne,France,Entreprise,Un Archiviste (H/F),Un Archiviste,Privé,17/10/2018,2018
CEA Grenoble,Commissariat à l'énergie atomique et aux énergies alternatives,Grenoble,45.186944444444,5.7263888888889,Isère,France,Établissement public,un Archiviste gestionnaire de l’information numérique (H-F),un Archiviste gestionnaire de l’information numérique (H-F),Public,16/10/2018,2018
ville de Garges-Lès-Gonesse,Garges-lès-Gonesse,Garges-lès-Gonesse,48.971944444444,2.4,Val-d'Oise,France,Commune,Un(e) Archiviste,Un Archiviste,Public,25/09/2019,2019
ville de Garges-lès-Gonesse,Garges-lès-Gonesse,Garges-lès-Gonesse,48.971944444444,2.4,Val-d'Oise,France,Commune,Un(e) adjoint(e) au responsable Du service  des archives h/f,Un adjoint au responsable Du service des archives ,Public,05/03/2012,2012
Sciences Po,Institut d'études politiques de Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Établissement public,Un ou une e-archiviste,Un ou une Earchiviste,Public,08/10/2018,2018
ville de Grenoble,Grenoble,Grenoble,45.186944444444,5.7263888888889,Isère,France,Commune,un(e) Conservateur en chef du patrimoine,un Conservateur en chef du patrimoine,Public,30/01/2007,2007
AGS ARCHIVAGE,La société AGS Archivage,Bastia,42.7,9.4494444444444,Haute-Corse,France,Entreprise,Un(e) ingénieur archiviste,Un ingénieur archiviste,Privé,08/10/2018,2018
ville de Guyancourt,Guyancourt,Guyancourt,48.770555555556,2.0730555555556,Yvelines,France,Commune,Sa/Son responsable Du service des archives et de Valorisation du patrimoine,Sa/Son responsable Du service des archives et de Valorisation du patrimoine,Public,14/02/2014,2014
ville de Houilles,Houilles,Houilles,48.925555555556,2.1883333333333,Yvelines,France,Commune,un assistant de conservation du patrimoine (h/f),un assistant de conservation du patrimoine,Public,01/03/2010,2010
ville de Rochelle,La Rochelle,La Rochelle,46.159444444444,-1.1513888888889,Charente-Maritime,France,Commune,un poste d’assistant archiviste,un poste d’assistant archiviste,Public,04/07/2007,2007
ville de Landerneau,Landerneau,Landerneau,48.450833333333,-4.2494444444444,Finistère,France,Commune,Un(e) Archiviste,Un Archiviste,Public,13/12/2019,2019
ville de Laval,Laval,Laval,48.072777777778,-0.77,Mayenne,France,Commune,Un archiviste (h/f),Un archiviste,Public,10/03/2020,2020
ville de Limoges,Limoges,Limoges,45.834444444444,1.2616666666667,Haute-Vienne,France,Commune,un conservateur du Patrimoine spécialité archives (H/F),un conservateur du Patrimoine spécialité archives,Public,24/08/2011,2011
ville de Lunel,Lunel,Lunel,43.676944444444,4.1352777777778,Hérault,France,Commune,un archiviste (H/F) catégorie C ou B,un archiviste catégorie C ou B,Public,19/07/2019,2019
ville de Lyon,Lyon,Lyon,45.758888888889,4.8413888888889,Rhône,France,Commune,Un archiviste H/F,Un archiviste,Public,24/04/2008,2008
ville de Lyon,Lyon,Lyon,45.758888888889,4.8413888888889,Rhône,France,Commune,un(e) assistant(e) ou assistant(e) qualifié(e) de conservation du patrimoine et des bibliothèques,un assistant ou assistant qualifié de conservation du patrimoine et des bibliothèques,Public,09/03/2007,2007
ville de Marseille,Marseille,Marseille,43.296666666667,5.3763888888889,Bouches-du-Rhône,France,Commune,un responsable Des Archives Municipales (H/F),un responsable Des Archives Municipales,Public,15/06/2021,2021
ville de MARSEILLE,Marseille,Marseille,43.296666666667,5.3763888888889,Bouches-du-Rhône,France,Commune,responsable Des Archives Contemporaines (H/F),responsable Des Archives Contemporaines,Public,30/07/2019,2019
CEA/Saclay,Commissariat à l'énergie atomique et aux énergies alternatives,Gif-sur-Yvette,48.701388888889,2.1336111111111,Essonne,France,Établissement public,un(e) archiviste en CDD-OD de 18 mois renouvelable,un archiviste en CDD-OD de 18 mois renouvelable,Public,22/08/2018,2018
ville de MARSEILLE,Marseille,Marseille,43.296666666667,5.3763888888889,Bouches-du-Rhône,France,Commune,Adjoint(e) au Directeur des Archives Municipales (H/F),Adjoint au Directeur des Archives Municipales,Public,30/07/2019,2019
ville de Marseille,Marseille,Marseille,43.296666666667,5.3763888888889,Bouches-du-Rhône,France,Commune,Un Assistant de Conservation du Patrimoine (h/f),Un Assistant de Conservation du Patrimoine,Public,19/02/2015,2015
Société Générad’Archives,La Société Générale d’Archives,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un(e) archiviste diplômé(e),un archiviste diplômé,Privé,12/08/2018,2018
ville de Marseille,Marseille,Marseille,43.296666666667,5.3763888888889,Bouches-du-Rhône,France,Commune,Un Assistant de Conservation h/f,Un Assistant de Conservation ,Public,22/03/2011,2011
ville de Maurepas,Maurepas,Maurepas,48.762777777778,1.9455555555556,Yvelines,France,Commune,un responsable Du service Archives / Missions d’actions culturelles (h/f),un responsable Du service Archives / Missions d’actions culturelles,Public,28/11/2011,2011
ville de Mérignac,Mérignac,Mérignac,44.8425,-0.645,Gironde,France,Commune,Un chef de service des archives communales h/f,Un chef de service des archives communales ,Public,01/09/2009,2009
ville de Metz,Metz,Metz,49.119722222222,6.1769444444444,Moselle,France,Commune,un Chef de projet culturel - archiviste (H/F),un Chef de projet culturel - archiviste,Public,06/07/2021,2021
ville de Metz,Metz,Metz,49.119722222222,6.1769444444444,Moselle,France,Commune,un.e e-archiviste,Earchiviste,Public,08/03/2019,2019
ville de Meudon,Meudon,Meudon,48.8075,2.2402777777778,Hauts-de-Seine,France,Commune,Un assistant archiviste (H/F),Un assistant archiviste,Public,11/09/2018,2018
ville de Millau,Millau,Millau,44.097777777778,3.0777777777778,Aveyron,France,Commune,Un assistant pour Service des Archives Municipales (H/F),Un assistant pour Service des Archives Municipales,Public,12/06/2018,2018
ville de Montauban,Montauban,Montauban,44.017222222222,1.355,Tarn-et-Garonne,France,Commune,un directeur du pôMémoire (h/f),un directeur du pôle Mémoir,Public,23/01/2018,2018
société GRAHAL,La société GRAHAL,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un Archiviste - Chef de projet adjoint (h/f),un Archiviste - Chef de projet adjoint,Privé,03/07/2018,2018
ville de Montbéliard,Montbéliard,Montbéliard,47.509722222222,6.7983333333333,Doubs,France,Commune,Un responsable Des archives h/f,Un responsable Des archives ,Public,27/09/2019,2019
ville de Montbéliard,Montbéliard,Montbéliard,47.509722222222,6.7983333333333,Doubs,France,Commune,Un archiviste (h/f),Un archiviste,Public,12/02/2019,2019
ville de Montfermeil,Montfermeil,Montfermeil,48.898333333333,2.5647222222222,Seine-Saint-Denis,France,Commune,Un responsable Du service Archives Documentation,Un responsable Du service Archives Documentation,Public,13/03/2017,2017
ville de Montfermeil,Montfermeil,Montfermeil,48.898333333333,2.5647222222222,Seine-Saint-Denis,France,Commune,Un responsable Du service Archives Documentation,Un responsable Du service Archives Documentation,Public,20/05/2016,2016
ville de Montpellier,Montpellier,Montpellier,43.610919444444,3.8772305555556,Hérault,France,Commune,Un responsable De l’information de Ville et des archives électroniques (H/F),Un responsable De l’information de Ville et des archives électroniques,Public,21/05/2021,2021
ville de Montpellier,Montpellier,Montpellier,43.610919444444,3.8772305555556,Hérault,France,Commune,Un responsable Des Archives Modernes,Un responsable Des Archives Modernes,Public,12/02/2010,2010
ville de Montreuil,Montreuil,Montreuil,48.860277777778,2.4430555555556,Seine-Saint-Denis,France,Commune,un Responsable Archives/Documentation (h/f),un Responsable Archives/Documentation,Public,26/09/2018,2018
ville de Montrouge,Montrouge,Montrouge,48.816388888889,2.3211111111111,Hauts-de-Seine,France,Commune,1 archiviste documentaliste (h/f),1 archiviste documentaliste,Public,06/12/2011,2011
ville de Montrouge,Montrouge,Montrouge,48.816388888889,2.3211111111111,Hauts-de-Seine,France,Commune,Recrute  un archiviste documentaliste (h/f),Recrute un archiviste documentaliste,Public,03/02/2010,2010
ville de Nancy,Nancy,Nancy,48.692777777778,6.1836111111111,Meurthe-et-Moselle,France,Commune,un conservateur pour Archives municipales (h/f),un conservateur pour Archives municipales,Public,13/06/2018,2018
ville de Nanterre,Nanterre,Nanterre,48.890555555556,2.2036111111111,Hauts-de-Seine,France,Commune,un Archiviste H/F,un Archiviste,Public,18/02/2014,2014
société ARKHENUM,Arkhênum,Taverny,49.025833333333,2.2266666666667,Val-d'Oise,France,Entreprise,un responsable De centre opérationnel (h/f),un responsable De centre opérationnel,Privé,23/05/2018,2018
congrégation des religieuses de Notre-Dame de Sion,Congrégation des religieuses de Notre-Dame de Sion,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un(e) archiviste,un archiviste,Privé,18/05/2018,2018
ville de Nanterre,Nanterre,Nanterre,48.890555555556,2.2036111111111,Hauts-de-Seine,France,Commune,un Assistant qualifié de conservation du patrimoine h/f,un Assistant qualifié de conservation du patrimoine ,Public,07/09/2011,2011
ville de Nantes,Nantes,Nantes,47.217222222222,-1.5538888888889,Loire-Atlantique,France,Commune,Une Archiviste ou un Archiviste,Une Archiviste ou un Archiviste,Public,02/02/2018,2018
société STUDIA CONSEIL,Studia Conseil,NA,,,Gard,France,Entreprise,une(e) archiviste confirmé(e),une archiviste confirmé,Privé,16/05/2018,2018
société Fontaine & Fils Archives Services,La société Fontaine & Fils Archives Services,Troyes,48.298888888889,4.0780555555556,Aude,France,Entreprise,un Archiviste (h/f),un Archiviste,Privé,14/05/2018,2018
Institut de Radioprotection et de Sûreté Nucléaire,Institut de radioprotection et de sûreté nucléaire,Saint-Paul-lès-Durance,43.686666666667,5.7077777777778,Bouches-du-Rhône,France,Établissement public,un archiviste (H/F) pour une mission de 18 mois,un archiviste pour une mission de 18 mois,Public,12/05/2018,2018
Institut de Radioprotection et de Sûreté Nucléaire,Institut de radioprotection et de sûreté nucléaire,Fontenay-aux-Roses,48.789166666667,2.2855555555556,Hauts-de-Seine,France,Établissement public,3 archivistes (H/F) pour une mission de 18 mois,archiviste pour une mission de 18 mois,Public,12/05/2018,2018
Institut de Radioprotection et de Sûreté Nucléaire,Institut de radioprotection et de sûreté nucléaire,Fontenay-aux-Roses,48.789166666667,2.2855555555556,Hauts-de-Seine,France,Établissement public,3 archivistes (H/F) pour une mission de 18 mois,archiviste pour une mission de 18 mois,Public,12/05/2018,2018
Institut de Radioprotection et de Sûreté Nucléaire,Institut de radioprotection et de sûreté nucléaire,Fontenay-aux-Roses,48.789166666667,2.2855555555556,Hauts-de-Seine,France,Établissement public,3 archivistes (H/F) pour une mission de 18 mois,archiviste pour une mission de 18 mois,Public,12/05/2018,2018
ville de Nantes,Nantes,Nantes,47.217222222222,-1.5538888888889,Loire-Atlantique,France,Commune,son Médiateur Culturel (h/f),son Médiateur Culturel,Public,06/06/2012,2012
ville de Narbonne,Narbonne,Narbonne,43.184722222222,3.0036111111111,Aude,France,Commune,"Un Archiviste, chef du service des Archives Municipales Cat.  A","Un Archiviste, chef du service des Archives Municipales Cat. A",Public,14/10/2013,2013
ville de Narbonne,Narbonne,Narbonne,43.184722222222,3.0036111111111,Aude,France,Commune,"un-e archiviste, chef du service des archives municipales","un archiviste, chef du service des archives municipales",Public,21/06/2013,2013
ville de Neuilly,Neuilly-sur-Seine,Neuilly-sur-Seine,48.887222222222,2.2675,Hauts-de-Seine,France,Commune,un archiviste en CDD (h/f),un archiviste en CDD,Public,09/09/2010,2010
ville de Neuilly/Seine,Neuilly-sur-Seine,Neuilly-sur-Seine,48.887222222222,2.2675,Hauts-de-Seine,France,Commune,Un Archiviste (h/f),Un Archiviste,Public,12/04/2007,2007
ville de Nice,Nice,Nice,43.701944444444,7.2683333333333,Alpes-Maritimes,France,Commune,un directeur des archives (h/f),un directeur des archives,Public,26/03/2013,2013
société SERDA Conseil,La société SERDA Conseil,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un-e  Consultant-e dématérialisation,un Consultant dématérialisation,Privé,25/04/2018,2018
ville de Nice,Nice,Nice,43.701944444444,7.2683333333333,Alpes-Maritimes,France,Commune,un(e) archiviste responsable Du service des archives anciennes,un archiviste responsable Du service des archives anciennes,Public,30/03/2012,2012
société XDEMAT,La société XDEMAT,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,5 consultants en dématérialisation et Archivage Electronique (h/f) – Paris – Région Sud - Nantes,consultant en dématérialisation et Archivage Électronique,Privé,19/04/2018,2018
société XDEMAT,La société XDEMAT,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,5 consultants en dématérialisation et Archivage Electronique (h/f) – Paris – Région Sud - Nantes,consultant en dématérialisation et Archivage Électronique,Privé,19/04/2018,2018
société XDEMAT,La société XDEMAT,Aix-en-Provence,43.527777777778,5.4455555555556,Bouches-du-Rhône,France,Entreprise,5 consultants en dématérialisation et Archivage Electronique (h/f) – Paris – Région Sud - Nantes,consultant en dématérialisation et Archivage Électronique,Privé,19/04/2018,2018
société XDEMAT,La société XDEMAT,Aix-en-Provence,43.527777777778,5.4455555555556,Bouches-du-Rhône,France,Entreprise,5 consultants en dématérialisation et Archivage Electronique (h/f) – Paris – Région Sud - Nantes,consultant en dématérialisation et Archivage Électronique,Privé,19/04/2018,2018
société XDEMAT,La société XDEMAT,Nantes,47.217222222222,-1.5538888888889,Loire-Atlantique,France,Entreprise,5 consultants en dématérialisation et Archivage Electronique (h/f) – Paris – Région Sud - Nantes,consultant en dématérialisation et Archivage Électronique,Privé,19/04/2018,2018
ville de Nice,Nice,Nice,43.701944444444,7.2683333333333,Alpes-Maritimes,France,Commune,un responsable Des archives contemporaines,un responsable Des archives contemporaines,Public,07/02/2011,2011
société AGS Archivage,La société AGS Archivage,Bastia,42.7,9.4494444444444,Haute-Corse,France,Entreprise,Un(e) ingénieur archiviste,Un ingénieur archiviste,Privé,17/04/2018,2018
société Vectura Archivage,La société Vectura Archivage,Saint-Ouen-l'Aumône,49.044166666667,2.1102777777778,Val-d'Oise,France,Entreprise,un archiviste (h/f),un archiviste,Privé,12/04/2018,2018
ville de Noisy Grand,Noisy-le-Grand,Noisy-le-Grand,48.843888888889,2.5580555555556,Seine-Saint-Denis,France,Commune,Un Chef du service archives et documentation (h/f),Un Chef du service archives et documentation,Public,20/10/2016,2016
ville de Noisy-le-Grand,Noisy-le-Grand,Noisy-le-Grand,48.843888888889,2.5580555555556,Seine-Saint-Denis,France,Commune,Un archiviste (h/f),Un archiviste,Public,10/02/2020,2020
ville de Noisy-le-Grand,Noisy-le-Grand,Noisy-le-Grand,48.843888888889,2.5580555555556,Seine-Saint-Denis,France,Commune,"Un Chef du service Archives, Publiques et Patrimoine (h/f)","Un Chef du service Archives, Publiques et Patrimoine",Public,10/02/2020,2020
ville de Pantin,Pantin,Pantin,48.898055555556,2.4072222222222,Seine-Saint-Denis,France,Commune,un archiviste records manager (H/F),un archiviste records manager,Public,04/05/2021,2021
ville de Pantin,Pantin,Pantin,48.898055555556,2.4072222222222,Seine-Saint-Denis,France,Commune,un archiviste Records Manager (h/f),un archiviste Records Manager,Public,02/06/2014,2014
Carmel de Lisieux,carmel de Lisieux,Lisieux,49.145555555556,0.22555555555556,Calvados,France,Entreprise,son Archiviste (H/F),son Archiviste,Privé,16/03/2018,2018
ville de Pantin,Pantin,Pantin,48.898055555556,2.4072222222222,Seine-Saint-Denis,France,Commune,un attaché de conservation du patrimoine (catégorie A),un attaché de conservation du patrimoine (catégorie A),Public,24/04/2012,2012
infeurope S.A.,infeurope S.A,Luxembourg,49.610555555556,6.1327777777778,NA,Luxembourg,Entreprise,a Junior Consultant in Information Management,a Junior Consultant in Information Management,Privé,09/03/2018,2018
ville de Pantin,Pantin,Pantin,48.898055555556,2.4072222222222,Seine-Saint-Denis,France,Commune,un adjoint du conservateur (h/f),un adjoint du conservateur,Public,16/07/2009,2009
ville de Paris,Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Commune,un.e Archiviste en charge de Collecte et du traitement de fonds d’archives publiques,Archiviste en charge de Collecte et du traitement de fonds d’archives publiques,Public,23/03/2021,2021
ville de Paris,Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Commune,un Chargé d’études documentaires (h/f),un Chargé d’études documentaires,Public,08/01/2020,2020
ville de Paris,Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Commune,un responsable De la politique archivistique de la direction de l’urbanisme (F/ H),un responsable De la politique archivistique de la direction de l’urbanisme ,Public,14/10/2019,2019
ville de Paris,Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Commune,Un adjoint technique fonctionnaire - photographe - technicien multimédia (F/H),Un adjoint technique fonctionnaire - photographe - technicien multimédia,Public,02/09/2019,2019
ville de Paris,Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Commune,un archiviste (h/f) (CDD de 2 ans),un archiviste (CDD de 2 ans),Public,07/10/2018,2018
ville de Paris,Paris,Paris,48.856944444444,2.3513888888889,Paris,France,Commune,un(e) archiviste,un archiviste,Public,28/03/2017,2017
société XDEMAT,La société XDEMAT,Aix-en-Provence,43.527777777778,5.4455555555556,Bouches-du-Rhône,France,Entreprise,un consultant en dématérialisation et Archivage Electronique (h/f) Région Sud,un consultant en dématérialisation et Archivage Électronique Région Sud,Privé,01/02/2018,2018
ville de Pierrefitte,Pierrefitte-sur-Seine,Pierrefitte-sur-Seine,48.964722222222,2.3608333333333,Seine-Saint-Denis,France,Commune,un responsable Du service archives-documentation (h/f),un responsable Du service archives-documentation,Public,18/10/2016,2016
société Studia Conseil,Studia Conseil,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un archiviste (h/f),un archiviste,Privé,29/01/2018,2018
ville de Pierrefitte-sur-seine,Pierrefitte-sur-Seine,Pierrefitte-sur-Seine,48.964722222222,2.3608333333333,Seine-Saint-Denis,France,Commune,Un.e responsable Du service Archives-Documentation (H/F),responsable Du service Archives-Documentation,Public,10/05/2021,2021
ville de Poitiers,Poitiers,Poitiers,46.581111111111,0.33527777777778,Vienne,France,Commune,un(e) responsable Des archives municipales (catégorie A),un responsable Des archives municipales (catégorie A),Public,27/09/2011,2011
ville de Pontarlier,Pontarlier,Pontarlier,46.906111111111,6.3547222222222,Doubs,France,Commune,Un Assistant de conservation du patrimoine (h/f),Un Assistant de conservation du patrimoine,Public,26/11/2019,2019
ville de Puteaux,Puteaux,Puteaux,48.884166666667,2.2380555555556,Hauts-de-Seine,France,Commune,un archiviste (H/F),un archiviste,Public,09/09/2019,2019
ville de Puteaux,Puteaux,Puteaux,48.884166666667,2.2380555555556,Hauts-de-Seine,France,Commune,un-e archiviste chargé-e du Patrimoine et de Médiation culturelle,un archiviste chargé du Patrimoine et de Médiation culturelle,Public,13/12/2018,2018
ville de Puteaux,Puteaux,Puteaux,48.884166666667,2.2380555555556,Hauts-de-Seine,France,Commune,"un-e archiviste aux archives modernes, iconographiques et actions éducatives","un archiviste aux archives modernes, iconographiques et actions éducatives",Public,13/12/2018,2018
ville de Puteaux,Puteaux,Puteaux,48.884166666667,2.2380555555556,Hauts-de-Seine,France,Commune,Un Chargé des archives et du développement patrimonial (H/F),Un Chargé des archives et du développement patrimonial,Public,26/01/2017,2017
ville de Puteaux,Puteaux,Puteaux,48.884166666667,2.2380555555556,Hauts-de-Seine,France,Commune,un(e) adjoint au responsable Du service des Archives municipales (h/f),un adjoint au responsable Du service des Archives municipales,Public,12/03/2009,2009
ville de Puteaux,Puteaux,Puteaux,48.884166666667,2.2380555555556,Hauts-de-Seine,France,Commune,un assistant territorial de conservation du patrimoine et des bilbiothèques,un assistant territorial de conservation du patrimoine et des bibliothèques,Public,27/05/2008,2008
ville de Rennes,Rennes,Rennes,48.114166666667,-1.6808333333333,Ille-et-Vilaine,France,Commune,un responsable De fonds d’archives publiques contemporaines (H/F),un responsable De fonds d’archives publiques contemporaines,Public,01/07/2021,2021
société SICEM,SICEM,Issy-les-Moulineaux,48.823055555556,2.2691666666667,Hauts-de-Seine,France,Entreprise,un chef de projet progiciel Archives (h/f),un chef de projet progiciel Archives,Privé,08/01/2018,2018
ville de Rennes,Rennes,Rennes,48.114166666667,-1.6808333333333,Ille-et-Vilaine,France,Commune,"un.e administrateur.trice de base de données, chargé.e de mission « projets numériques »","administrateur de base de données, chargé de mission  projets numériques",Public,14/10/2020,2020
ville de Rennes,Rennes,Rennes,48.114166666667,-1.6808333333333,Ille-et-Vilaine,France,Commune,Un.e Archiviste chargé.e de Collecte et du classement des archives contemporaines F/H,Archiviste chargé de Collecte et du classement des archives contemporaines,Public,13/12/2019,2019
ville de Rennes,Rennes,Rennes,48.114166666667,-1.6808333333333,Ille-et-Vilaine,France,Commune,un.e E-archiviste / Chef.fe de projet archivage électronique,Earchiviste / Chef de projet archivage électronique,Public,08/11/2017,2017
ville de Rennes,Rennes,Rennes,48.114166666667,-1.6808333333333,Ille-et-Vilaine,France,Commune,Un(e) Chargé(e) du traitement des archives contemporaines,Un Chargé du traitement des archives contemporaines,Public,10/11/2015,2015
ville de Rennes,Rennes,Rennes,48.114166666667,-1.6808333333333,Ille-et-Vilaine,France,Commune,Un(e)  Chargé(e) du traitement des archives contemporaines,Un Chargé du traitement des archives contemporaines,Public,25/03/2015,2015
ville de Rennes,Rennes,Rennes,48.114166666667,-1.6808333333333,Ille-et-Vilaine,France,Commune,"Un Archiviste, responsable De Communication et des archives modernes (H/F)","Un Archiviste, responsable De Communication et des archives modernes",Public,17/03/2014,2014
ville de Rennes,Rennes,Rennes,48.114166666667,-1.6808333333333,Ille-et-Vilaine,France,Commune,un responsable De Collecte et du pré-archivage pour les services municipaux f/h,un responsable De Collecte et du pré-archivage pour les services municipaux,Public,02/11/2012,2012
ville de Rennes,Rennes,Rennes,48.114166666667,-1.6808333333333,Ille-et-Vilaine,France,Commune,un responsable De Collecte et du pré-archivage de Communauté d’agglomération Rennes Métropole (f/h),un responsable De Collecte et du pré-archivage de Communauté d’agglomération Rennes Métropole,Public,27/08/2012,2012
ville de Rennes,Rennes,Rennes,48.114166666667,-1.6808333333333,Ille-et-Vilaine,France,Commune,un responsable De Collecte et du pré-archivage de Communauté d’agglomération Rennes Métropole (f/h),un responsable De Collecte et du pré-archivage de Communauté d’agglomération Rennes Métropole,Public,30/03/2012,2012
Conférence des Evêques de France,Conférence des évêques de France,Issy-les-Moulineaux,48.823055555556,2.2691666666667,Hauts-de-Seine,France,Entreprise,Un(e) Archiviste,Un Archiviste,Privé,24/11/2017,2017
ville de Rennes,Rennes,Rennes,48.114166666667,-1.6808333333333,Ille-et-Vilaine,France,Commune,"un adjoint au Directeur, responsable De Collecte et du traitement des fonds h/f","un adjoint au Directeur, responsable De Collecte et du traitement des fonds ",Public,01/03/2012,2012
ville de Rennes,Rennes,Rennes,48.114166666667,-1.6808333333333,Ille-et-Vilaine,France,Commune,Un Archiviste h/f,Un Archiviste ,Public,12/01/2012,2012
INERIS,Institut national de l'environnement industriel et des risques,Verneuil-en-Halatte,49.276388888889,2.5222222222222,Oise,France,Établissement public,un Ingénieur archiviste (H/F),un Ingénieur archiviste,Public,14/11/2017,2017
Groupe Imprimerie Nationale,Imprimerie nationale,NA,,,Nord,France,Établissement public,un archiviste (h/f),un archiviste,Public,14/11/2017,2017
société ARKEA WEB,La société ARKEA Web,NA,,,NA,France,Entreprise,"un archiviste itinérant pour collectivités territoriales (H/F, CDD 6 à 9 mois)","un archiviste itinérant pour collectivités territoriales (, CDD 6 à 9 mois)",Privé,13/11/2017,2017
ville de Rezé,Rezé,Rezé,47.181388888889,-1.5497222222222,Loire-Atlantique,France,Commune,un responsable Du service archives (h/f),un responsable Du service archives,Public,13/12/2007,2007
société NAONED,Naoned Systèmes,Vertou,47.168055555556,-1.4713888888889,Loire-Atlantique,France,Entreprise,un(e) consultant archiviste (H/F) en CDI,un consultant archiviste en CDI,Privé,10/11/2017,2017
ville de Rezé,Rezé,Rezé,47.181388888889,-1.5497222222222,Loire-Atlantique,France,Commune,un chargé des archives privées et de la numérisation (H/F),un chargé des archives privées et de la numérisation,Public,09/03/2007,2007
société VECTURA ARCHIVAGE,La société Vectura Archivage,Toulouse,43.604444444444,1.4438888888889,Haute-Garonne,France,Entreprise,un archiviste (h/f),un archiviste,Privé,08/11/2017,2017
CEA centre de Saclay,Commissariat à l'énergie atomique et aux énergies alternatives,Gif-sur-Yvette,48.701388888889,2.1336111111111,Essonne,France,Établissement public,3 archivistes pour des missions en interim de 6 à 18 mois,archiviste pour mission en intérim de 6 à 18 mois,Public,31/10/2017,2017
CEA centre de Saclay,Commissariat à l'énergie atomique et aux énergies alternatives,Gif-sur-Yvette,48.701388888889,2.1336111111111,Essonne,France,Établissement public,3 archivistes pour des missions en interim de 6 à 18 mois,archiviste pour mission en intérim de 6 à 18 mois,Public,31/10/2017,2017
