employeur_or,employeur,commune,lat,long,departement,pays,type_employ,intitule_or,intitule,type,date,annee
Les archives départementales d’Eure-et-Loir,archives départementales d'Eure-et-Loir,Mainvilliers,48.453055555556,1.4619444444444,Eure-et-Loir,France,Conseil départemental,un(e) assistant(e) de conservation du patrimoine,un assistant de conservation du patrimoine,Public,04/08/2006,2006
Confédération Généradu Travail,Confédération Générale Du Travail,Montreuil,48.860277777778,2.4430555555556,Seine-Saint-Denis,France,Entreprise,un(e) archiviste,un archiviste,Privé,22/08/2007,2007
Arkhênum,Arkhênum,Fontainebleau,48.408888888889,2.7016666666667,Seine-et-Marne,France,Entreprise,un chef de projet numérisation à Fontainebleau,un chef de projet numérisation à Fontainebleau,Privé,22/08/2007,2007
Les archives départementales d’Ilet Vilaine,archives départementales d'Ille-et-Vilaine,Rennes,48.114166666667,-1.6808333333333,Ille-et-Vilaine,France,Conseil départemental,un attaché du patrimoine,un attaché du patrimoine,Public,01/04/2010,2010
Les Archives départementales de Eure,archives départementales de l'Eure,Évreux,49.023333333333,1.1525,Eure,France,Conseil départemental,un archiviste rattaché au pôle traitement (h/f),un archiviste rattaché au pôle traitement,Public,23/09/2016,2016
Les Archives départementales de Hérault,archives départementales de l'Hérault,Montpellier,43.610919444444,3.8772305555556,Hérault,France,Conseil départemental,un(e) responsable De l’iconothèque,un responsable De l’iconothèque,Public,24/11/2011,2011
Les archives départementales de Corrèze,archives départementales de la Corrèze,Tulle,45.265833333333,1.7722222222222,Corrèze,France,Conseil départemental,Attaché de conservation du patrimoine,Attaché de conservation du patrimoine,Public,26/04/2007,2007
Les Archives départementales de Drôme,archives départementales de la Drôme,Valence,44.9325,4.8908333333333,Drôme,France,Conseil départemental,un(e) Chargé(e) d’orientation des publics et de Médiation,un Chargé d’orientation des publics et de Médiation,Public,15/02/2021,2021
Les Archives départementales de Drôme,archives départementales de la Drôme,Valence,44.9325,4.8908333333333,Drôme,France,Conseil départemental,RECRUTENT : un(e) assistant(e)/assistant(e) principal(e) de conservation du patrimoine  chargé(e) de l’élaboration  d’instruments de recherche (pôle Traitement),un assistant/assistant principal de conservation du patrimoine chargé de l’élaboration d’instruments de recherche (pôle Traitement),Public,04/05/2018,2018
Les archives départementales de Drôme,archives départementales de la Drôme,Valence,44.9325,4.8908333333333,Drôme,France,Conseil départemental,un photographe,un photographe,Public,09/05/2016,2016
Les archives départementales de Drôme,archives départementales de la Drôme,Valence,44.9325,4.8908333333333,Drôme,France,Conseil départemental,un(e) responsable De Cellule Des fonds publics ouverts,un responsable De Cellule Des fonds publics ouverts,Public,19/07/2011,2011
Chambre de Commerce et d’Industrie de Quimper Cornouaille,chambre de commerce et d'industrie de Quimper Cornouaille,Quimper,47.995833333333,-4.0977777777778,Finistère,France,Établissement public,un(e) archiviste-assistant(e),un archiviste-assistant,Public,26/06/2007,2007
